name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.3942307692307692,-0.5916386711459494,0.6366181410974244,0.3157894736842105,0.9,0.6057692307692307
Enet,0.3942307692307692,-0.5916386711459494,0.6366181410974244,0.3157894736842105,0.9,0.6057692307692307
Loger,0.14423076923076922,0.4176931690929453,0.8497573721537888,0.9122807017543859,0.8387096774193549,0.8557692307692307
Nearest Neighbors,0.16346153846153846,0.34005225830533803,0.8210153042179917,0.9824561403508771,0.7777777777777778,0.8365384615384616
Linear SVM,0.10576923076923077,0.5729749906681599,0.8904441955953714,0.9298245614035088,0.8833333333333333,0.8942307692307693
RBF SVM,0.5480769230769231,-1.2127659574468077,0.5,0.0,0.0,0.4519230769230769
Gaussian Process,0.08653846153846154,0.6506159014557672,0.9061216871967152,0.9824561403508771,0.875,0.9134615384615384
Decision Tree,0.15384615384615385,0.37887271369914166,0.8372527062336693,0.9298245614035088,0.8153846153846154,0.8461538461538461
Random Forest,0.17307692307692307,0.3012318029115344,0.8178424785367674,0.9122807017543859,0.8,0.8269230769230769
Neural Net,0.19230769230769232,0.22359089212392713,0.8170959313176559,0.7192982456140351,0.9111111111111111,0.8076923076923077
AdaBoost,0.09615384615384616,0.6117954460619636,0.8973497573721537,0.9649122807017544,0.873015873015873,0.9038461538461539
Naive Bayes,0.21153846153846154,0.14594998133631987,0.7939529675251961,0.7368421052631579,0.8571428571428571,0.7884615384615384
QDA,0.09615384615384616,0.6117954460619636,0.9066815976110489,0.8771929824561403,0.9433962264150944,0.9038461538461539
